Date,DrawNo,Time,Mark,Line,Suit
30/05/2000,3639,Midday,25,7,5 suit
30/05/2000,3640,Evening,35,8,5 suit
31/05/2000,3641,Midday,36,9,6 suit
31/05/2000,3642,Evening,7,7,7 suit
01/06/2000,3643,Midday,17,8,7 suit
01/06/2000,3644,Evening,26,8,6 suit
02/06/2000,3645,Midday,22,4,2 suit
02/06/2000,3646,Evening,19,1,9 suit
03/06/2000,3647,Midday,4,4,4 suit
03/06/2000,3648,Evening,8,8,8 suit
05/06/2000,3649,Midday,31,4,1 suit
05/06/2000,3650,Evening,28,1,8 suit
06/06/2000,3651,Midday,12,3,2 suit
06/06/2000,3652,Evening,36,9,6 suit
07/06/2000,3653,Midday,10,1,0s
07/06/2000,3654,Evening,2,2,2 suit
08/06/2000,3655,Midday,7,7,7 suit
08/06/2000,3656,Evening,29,2,9 suit
09/06/2000,3657,Midday,26,8,6 suit
09/06/2000,3658,Evening,17,8,7 suit
10/06/2000,3659,Midday,4,4,4 suit
10/06/2000,3660,Evening,24,6,4 suit
12/06/2000,3661,Midday,25,7,5 suit
12/06/2000,3662,Evening,19,1,9 suit
13/06/2000,3663,Midday,16,7,6 suit
13/06/2000,3664,Evening,7,7,7 suit
14/06/2000,3665,Midday,19,1,9 suit
14/06/2000,3666,Evening,11,2,1 suit
15/06/2000,3667,Midday,18,9,8 suit
15/06/2000,3668,Evening,23,5,3 suit
16/06/2000,3669,Midday,6,6,6 suit
16/06/2000,3670,Evening,13,4,3 suit
17/06/2000,3671,Midday,16,7,6 suit
17/06/2000,3672,Evening,4,4,4 suit
19/06/2000,3673,Midday,14,5,4 suit
19/06/2000,3674,Evening,6,6,6 suit
20/06/2000,3675,Midday,34,7,4 suit
20/06/2000,3676,Evening,22,4,2 suit
21/06/2000,3677,Midday,10,1,0s
21/06/2000,3678,Evening,2,2,2 suit
23/06/2000,3679,Midday,31,4,1 suit
23/06/2000,3680,Evening,2,2,2 suit
24/06/2000,3681,Midday,16,7,6 suit
24/06/2000,3682,Evening,20,2,0s
26/06/2000,3683,Midday,18,9,8 suit
26/06/2000,3684,Evening,12,3,2 suit
27/06/2000,3685,Midday,33,6,3 suit
27/06/2000,3686,Evening,4,4,4 suit
28/06/2000,3687,Midday,14,5,4 suit
28/06/2000,3688,Evening,16,7,6 suit
29/06/2000,3689,Midday,31,4,1 suit
29/06/2000,3690,Evening,22,4,2 suit
30/06/2000,3691,Midday,29,2,9 suit
30/06/2000,3692,Evening,26,8,6 suit
01/07/2000,3693,Midday,3,3,3 suit
01/07/2000,3694,Evening,1,1,1 suit
03/07/2000,3695,Midday,7,7,7 suit
03/07/2000,3696,Evening,36,9,6 suit
04/07/2000,3697,Midday,26,8,6 suit
04/07/2000,3698,Evening,27,9,7 suit
05/07/2000,3699,Midday,26,8,6 suit
05/07/2000,3700,Evening,21,3,1 suit
06/07/2000,3701,Midday,26,8,6 suit
06/07/2000,3702,Evening,13,4,3 suit
07/07/2000,3703,Midday,6,6,6 suit
07/07/2000,3704,Evening,19,1,9 suit
08/07/2000,3705,Midday,14,5,4 suit
08/07/2000,3706,Evening,27,9,7 suit
10/07/2000,3707,Midday,26,8,6 suit
10/07/2000,3708,Evening,30,3,0s
11/07/2000,3709,Midday,25,7,5 suit
11/07/2000,3710,Evening,7,7,7 suit
12/07/2000,3711,Midday,21,3,1 suit
12/07/2000,3712,Evening,1,1,1 suit
13/07/2000,3713,Midday,11,2,1 suit
13/07/2000,3714,Evening,1,1,1 suit
14/07/2000,3715,Midday,11,2,1 suit
14/07/2000,3716,Evening,25,7,5 suit
15/07/2000,3717,Midday,13,4,3 suit
15/07/2000,3718,Evening,27,9,7 suit
17/07/2000,3719,Midday,15,6,5 suit
17/07/2000,3720,Evening,26,8,6 suit
18/07/2000,3721,Midday,19,1,9 suit
18/07/2000,3722,Evening,9,9,9 suit
19/07/2000,3723,Midday,6,6,6 suit
19/07/2000,3724,Evening,29,2,9 suit
20/07/2000,3725,Midday,22,4,2 suit
20/07/2000,3726,Evening,36,9,6 suit
21/07/2000,3727,Midday,18,9,8 suit
21/07/2000,3728,Evening,8,8,8 suit
22/07/2000,3729,Midday,15,6,5 suit
22/07/2000,3730,Evening,16,7,6 suit
24/07/2000,3731,Midday,8,8,8 suit
24/07/2000,3732,Evening,2,2,2 suit
25/07/2000,3733,Midday,36,9,6 suit
25/07/2000,3734,Evening,9,9,9 suit
26/07/2000,3735,Midday,28,1,8 suit
26/07/2000,3736,Evening,26,8,6 suit
27/07/2000,3737,Midday,4,4,4 suit
27/07/2000,3738,Evening,28,1,8 suit
28/07/2000,3739,Midday,27,9,7 suit
28/07/2000,3740,Evening,35,8,5 suit
29/07/2000,3741,Midday,11,2,1 suit
29/07/2000,3742,Evening,22,4,2 suit
31/07/2000,3743,Midday,28,1,8 suit
31/07/2000,3744,Evening,36,9,6 suit
01/08/2000,3745,Midday,31,4,1 suit
01/08/2000,3746,Evening,21,3,1 suit
02/08/2000,3747,Midday,34,7,4 suit
02/08/2000,3748,Evening,19,1,9 suit
03/08/2000,3749,Midday,22,4,2 suit
03/08/2000,3750,Evening,26,8,6 suit
04/08/2000,3751,Midday,9,9,9 suit
04/08/2000,3752,Evening,30,3,0s
05/08/2000,3753,Midday,10,1,0s
05/08/2000,3754,Evening,32,5,2 suit
07/08/2000,3755,Midday,29,2,9 suit
07/08/2000,3756,Evening,25,7,5 suit
08/08/2000,3757,Midday,19,1,9 suit
08/08/2000,3758,Evening,29,2,9 suit
09/08/2000,3759,Midday,28,1,8 suit
09/08/2000,3760,Evening,34,7,4 suit
10/08/2000,3761,Midday,11,2,1 suit
10/08/2000,3762,Evening,36,9,6 suit
11/08/2000,3763,Midday,31,4,1 suit
11/08/2000,3764,Evening,18,9,8 suit
12/08/2000,3765,Midday,11,2,1 suit
12/08/2000,3766,Evening,7,7,7 suit
14/08/2000,3767,Midday,10,1,0s
14/08/2000,3768,Evening,14,5,4 suit
15/08/2000,3769,Midday,12,3,2 suit
15/08/2000,3770,Evening,9,9,9 suit
16/08/2000,3771,Midday,9,9,9 suit
16/08/2000,3772,Evening,6,6,6 suit
17/08/2000,3773,Midday,6,6,6 suit
17/08/2000,3774,Evening,26,8,6 suit
18/08/2000,3775,Midday,20,2,0s
18/08/2000,3776,Evening,5,5,5 suit
19/08/2000,3777,Midday,28,1,8 suit
19/08/2000,3778,Evening,24,6,4 suit
21/08/2000,3779,Midday,5,5,5 suit
21/08/2000,3780,Evening,18,9,8 suit
22/08/2000,3781,Midday,32,5,2 suit
22/08/2000,3782,Evening,30,3,0s
23/08/2000,3783,Midday,7,7,7 suit
23/08/2000,3784,Evening,31,4,1 suit
24/08/2000,3785,Midday,34,7,4 suit
24/08/2000,3786,Evening,22,4,2 suit
25/08/2000,3787,Midday,8,8,8 suit
25/08/2000,3788,Evening,18,9,8 suit
26/08/2000,3789,Midday,36,9,6 suit
26/08/2000,3790,Evening,17,8,7 suit
28/08/2000,3791,Midday,11,2,1 suit
28/08/2000,3792,Evening,32,5,2 suit
29/08/2000,3793,Midday,29,2,9 suit
29/08/2000,3794,Evening,6,6,6 suit
30/08/2000,3795,Midday,9,9,9 suit
30/08/2000,3796,Evening,22,4,2 suit
31/08/2000,3797,Midday,23,5,3 suit
31/08/2000,3798,Evening,25,7,5 suit
02/10/2000,3851,Midday,32,5,2 suit
02/10/2000,3852,Evening,19,1,9 suit
03/10/2000,3853,Midday,29,2,9 suit
03/10/2000,3854,Evening,18,9,8 suit
04/10/2000,3855,Midday,36,9,6 suit
04/10/2000,3856,Evening,33,6,3 suit
05/10/2000,3857,Midday,21,3,1 suit
05/10/2000,3858,Evening,13,4,3 suit
06/10/2000,3859,Midday,21,3,1 suit
06/10/2000,3860,Evening,11,2,1 suit
07/10/2000,3861,Midday,14,5,4 suit
07/10/2000,3862,Evening,3,3,3 suit
09/10/2000,3863,Midday,7,7,7 suit
09/10/2000,3864,Evening,34,7,4 suit
10/10/2000,3865,Midday,4,4,4 suit
10/10/2000,3866,Evening,30,3,0s
11/10/2000,3867,Midday,33,6,3 suit
11/10/2000,3868,Evening,27,9,7 suit
12/10/2000,3869,Midday,29,2,9 suit
12/10/2000,3870,Evening,2,2,2 suit
13/10/2000,3871,Midday,14,5,4 suit
13/10/2000,3872,Evening,17,8,7 suit
14/10/2000,3873,Midday,23,5,3 suit
14/10/2000,3874,Evening,2,2,2 suit
16/10/2000,3875,Midday,21,3,1 suit
16/10/2000,3876,Evening,17,8,7 suit
17/10/2000,3877,Midday,33,6,3 suit
17/10/2000,3878,Evening,14,5,4 suit
18/10/2000,3879,Midday,23,5,3 suit
18/10/2000,3880,Evening,17,8,7 suit
19/10/2000,3881,Midday,32,5,2 suit
19/10/2000,3882,Evening,30,3,0s
20/10/2000,3883,Midday,16,7,6 suit
20/10/2000,3884,Evening,15,6,5 suit
21/10/2000,3885,Midday,28,1,8 suit
21/10/2000,3886,Evening,34,7,4 suit
23/10/2000,3887,Midday,21,3,1 suit
23/10/2000,3888,Evening,17,8,7 suit
24/10/2000,3889,Midday,34,7,4 suit
24/10/2000,3890,Evening,2,2,2 suit
25/10/2000,3891,Midday,31,4,1 suit
25/10/2000,3892,Evening,16,7,6 suit
27/10/2000,3893,Midday,24,6,4 suit
27/10/2000,3894,Evening,5,5,5 suit
28/10/2000,3895,Midday,31,4,1 suit
28/10/2000,3896,Evening,29,2,9 suit
30/10/2000,3897,Midday,22,4,2 suit
30/10/2000,3898,Evening,34,7,4 suit
31/10/2000,3899,Midday,19,1,9 suit
31/10/2000,3900,Evening,3,3,3 suit
01/11/2000,3901,Midday,24,6,4 suit
01/11/2000,3902,Evening,3,3,3 suit
02/11/2000,3903,Midday,27,9,7 suit
02/11/2000,3904,Evening,7,7,7 suit
03/11/2000,3905,Midday,35,8,5 suit
03/11/2000,3906,Evening,21,3,1 suit
04/11/2000,3907,Midday,32,5,2 suit
04/11/2000,3908,Evening,15,6,5 suit
06/11/2000,3909,Midday,25,7,5 suit
06/11/2000,3910,Evening,2,2,2 suit
07/11/2000,3911,Midday,28,1,8 suit
07/11/2000,3912,Evening,24,6,4 suit
08/11/2000,3913,Midday,19,1,9 suit
08/11/2000,3914,Evening,8,8,8 suit
09/11/2000,3915,Midday,19,1,9 suit
09/11/2000,3916,Evening,24,6,4 suit
10/11/2000,3917,Midday,33,6,3 suit
10/11/2000,3918,Evening,26,8,6 suit
11/11/2000,3919,Midday,31,4,1 suit
11/11/2000,3920,Evening,19,1,9 suit
13/11/2000,3921,Midday,29,2,9 suit
13/11/2000,3922,Evening,4,4,4 suit
14/11/2000,3923,Midday,9,9,9 suit
14/11/2000,3924,Evening,20,2,0s
15/11/2000,3925,Midday,11,2,1 suit
15/11/2000,3926,Evening,35,8,5 suit
16/11/2000,3927,Midday,28,1,8 suit
16/11/2000,3928,Evening,22,4,2 suit
17/11/2000,3929,Midday,29,2,9 suit
17/11/2000,3930,Evening,31,4,1 suit
18/11/2000,3931,Midday,16,7,6 suit
18/11/2000,3932,Evening,34,7,4 suit
20/11/2000,3933,Midday,32,5,2 suit
20/11/2000,3934,Evening,36,9,6 suit
21/11/2000,3935,Midday,31,4,1 suit
21/11/2000,3936,Evening,34,7,4 suit
22/11/2000,3937,Midday,26,8,6 suit
22/11/2000,3938,Evening,20,2,0s
23/11/2000,3939,Midday,27,9,7 suit
23/11/2000,3940,Evening,6,6,6 suit
24/11/2000,3941,Midday,12,3,2 suit
24/11/2000,3942,Evening,19,1,9 suit
25/11/2000,3943,Midday,30,3,0s
25/11/2000,3944,Evening,32,5,2 suit
27/11/2000,3945,Midday,35,8,5 suit
27/11/2000,3946,Evening,20,2,0s
28/11/2000,3947,Midday,34,7,4 suit
28/11/2000,3948,Evening,18,9,8 suit
29/11/2000,3949,Midday,18,9,8 suit
29/11/2000,3950,Evening,3,3,3 suit
30/11/2000,3951,Midday,24,6,4 suit
30/11/2000,3952,Evening,15,6,5 suit
01/12/2000,3953,Midday,26,8,6 suit
01/12/2000,3954,Evening,22,4,2 suit
02/12/2000,3955,Midday,25,7,5 suit
02/12/2000,3956,Evening,23,5,3 suit
04/12/2000,3957,Midday,30,3,0s
04/12/2000,3958,Evening,36,9,6 suit
05/12/2000,3959,Midday,7,7,7 suit
05/12/2000,3960,Evening,34,7,4 suit
06/12/2000,3961,Midday,14,5,4 suit
06/12/2000,3962,Evening,22,4,2 suit
07/12/2000,3963,Midday,9,9,9 suit
07/12/2000,3964,Evening,23,5,3 suit
08/12/2000,3965,Midday,12,3,2 suit
08/12/2000,3966,Evening,35,8,5 suit
09/12/2000,3967,Midday,32,5,2 suit
09/12/2000,3968,Evening,9,9,9 suit
11/12/2000,3969,Midday,5,5,5 suit
11/12/2000,3970,Evening,26,8,6 suit
12/12/2000,3971,Midday,11,2,1 suit
12/12/2000,3972,Evening,32,5,2 suit
13/12/2000,3973,Midday,30,3,0s
13/12/2000,3974,Evening,32,5,2 suit
14/12/2000,3975,Midday,6,6,6 suit
14/12/2000,3976,Evening,27,9,7 suit
15/12/2000,3977,Midday,21,3,1 suit
15/12/2000,3978,Evening,27,9,7 suit
16/12/2000,3979,Midday,27,9,7 suit
16/12/2000,3980,Evening,22,4,2 suit
18/12/2000,3981,Midday,12,3,2 suit
18/12/2000,3982,Evening,25,7,5 suit
19/12/2000,3983,Midday,7,7,7 suit
19/12/2000,3984,Evening,27,9,7 suit
20/12/2000,3985,Midday,30,3,0s
20/12/2000,3986,Evening,3,3,3 suit
21/12/2000,3987,Midday,17,8,7 suit
21/12/2000,3988,Evening,27,9,7 suit
22/12/2000,3989,Midday,25,7,5 suit
22/12/2000,3990,Evening,36,9,6 suit
23/12/2000,3991,Midday,11,2,1 suit
23/12/2000,3992,Evening,1,1,1 suit
26/12/2000,3993,Midday,6,6,6 suit
26/12/2000,3994,Evening,7,7,7 suit
28/12/2000,3995,Midday,34,7,4 suit
28/12/2000,3996,Evening,6,6,6 suit
29/12/2000,3997,Midday,10,1,0s
29/12/2000,3998,Evening,22,4,2 suit
30/12/2000,3999,Midday,17,8,7 suit
30/12/2000,4000,Evening,15,6,5 suit
01/01/2001,4001,Midday,30,3,0s
01/01/2001,4002,Evening,20,2,0s
02/01/2001,4003,Midday,13,4,3 suit
02/01/2001,4004,Evening,20,2,0s
03/01/2001,4005,Midday,7,7,7 suit
03/01/2001,4006,Evening,12,3,2 suit
04/01/2001,4007,Midday,3,3,3 suit
04/01/2001,4008,Evening,26,8,6 suit
05/01/2001,4009,Midday,21,3,1 suit
05/01/2001,4010,Evening,17,8,7 suit
06/01/2001,4011,Midday,21,3,1 suit
06/01/2001,4012,Evening,34,7,4 suit
08/01/2001,4013,Midday,25,7,5 suit
08/01/2001,4014,Evening,31,4,1 suit
09/01/2001,4015,Midday,35,8,5 suit
09/01/2001,4016,Evening,36,9,6 suit
10/01/2001,4017,Midday,32,5,2 suit
10/01/2001,4018,Evening,36,9,6 suit
11/01/2001,4019,Midday,26,8,6 suit
11/01/2001,4020,Evening,18,9,8 suit
12/01/2001,4021,Midday,27,9,7 suit
12/01/2001,4022,Evening,5,5,5 suit
13/01/2001,4023,Midday,9,9,9 suit
13/01/2001,4024,Evening,36,9,6 suit
15/01/2001,4025,Midday,15,6,5 suit
15/01/2001,4026,Evening,19,1,9 suit
16/01/2001,4027,Midday,1,1,1 suit
16/01/2001,4028,Evening,12,3,2 suit
17/01/2001,4029,Midday,6,6,6 suit
17/01/2001,4030,Evening,20,2,0s
18/01/2001,4031,Midday,33,6,3 suit
18/01/2001,4032,Evening,34,7,4 suit
19/01/2001,4033,Midday,21,3,1 suit
19/01/2001,4034,Evening,9,9,9 suit
20/01/2001,4035,Midday,20,2,0s
20/01/2001,4036,Evening,12,3,2 suit
22/01/2001,4037,Midday,20,2,0s
22/01/2001,4038,Evening,33,6,3 suit
23/01/2001,4039,Midday,17,8,7 suit
23/01/2001,4040,Evening,15,6,5 suit
24/01/2001,4041,Midday,14,5,4 suit
24/01/2001,4042,Evening,28,1,8 suit
25/01/2001,4043,Midday,26,8,6 suit
25/01/2001,4044,Evening,24,6,4 suit
26/01/2001,4045,Midday,1,1,1 suit
26/01/2001,4046,Evening,15,6,5 suit
27/01/2001,4047,Midday,14,5,4 suit
27/01/2001,4048,Evening,6,6,6 suit
29/01/2001,4049,Midday,4,4,4 suit
29/01/2001,4050,Evening,8,8,8 suit
30/01/2001,4051,Midday,7,7,7 suit
30/01/2001,4052,Evening,8,8,8 suit
31/01/2001,4053,Midday,31,4,1 suit
31/01/2001,4054,Evening,22,4,2 suit
01/02/2001,4055,Midday,35,8,5 suit
01/02/2001,4056,Evening,5,5,5 suit
02/02/2001,4057,Midday,29,2,9 suit
02/02/2001,4058,Evening,25,7,5 suit
03/02/2001,4059,Midday,21,3,1 suit
03/02/2001,4060,Evening,24,6,4 suit
05/02/2001,4061,Midday,6,6,6 suit
05/02/2001,4062,Evening,33,6,3 suit
06/02/2001,4063,Midday,16,7,6 suit
06/02/2001,4064,Evening,24,6,4 suit
07/02/2001,4065,Midday,10,1,0s
07/02/2001,4066,Evening,25,7,5 suit
08/02/2001,4067,Midday,23,5,3 suit
08/02/2001,4068,Evening,24,6,4 suit
09/02/2001,4069,Midday,31,4,1 suit
09/02/2001,4070,Evening,8,8,8 suit
10/02/2001,4071,Midday,10,1,0s
10/02/2001,4072,Evening,29,2,9 suit
12/02/2001,4073,Midday,20,2,0s
12/02/2001,4074,Evening,23,5,3 suit
13/02/2001,4075,Midday,13,4,3 suit
13/02/2001,4076,Evening,16,7,6 suit
14/02/2001,4077,Midday,13,4,3 suit
14/02/2001,4078,Evening,23,5,3 suit
15/02/2001,4079,Midday,25,7,5 suit
15/02/2001,4080,Evening,16,7,6 suit
16/02/2001,4081,Midday,31,4,1 suit
16/02/2001,4082,Evening,30,3,0s
17/02/2001,4083,Midday,5,5,5 suit
17/02/2001,4084,Evening,24,6,4 suit
19/02/2001,4085,Midday,18,9,8 suit
19/02/2001,4086,Evening,9,9,9 suit
20/02/2001,4087,Midday,15,6,5 suit
20/02/2001,4088,Evening,6,6,6 suit
21/02/2001,4089,Midday,30,3,0s
21/02/2001,4090,Evening,21,3,1 suit
22/02/2001,4091,Midday,36,9,6 suit
22/02/2001,4092,Evening,13,4,3 suit
23/02/2001,4093,Midday,10,1,0s
23/02/2001,4094,Evening,22,4,2 suit
24/02/2001,4095,Midday,25,7,5 suit
24/02/2001,4096,Evening,6,6,6 suit
26/02/2001,4097,Midday,3,3,3 suit
26/02/2001,4098,Evening,20,2,0s
27/02/2001,4099,Midday,17,8,7 suit
27/02/2001,4100,Evening,16,7,6 suit
28/02/2001,4101,Midday,3,3,3 suit
28/02/2001,4102,Evening,18,9,8 suit
01/03/2001,4103,Midday,22,4,2 suit
01/03/2001,4104,Evening,12,3,2 suit
02/03/2001,4105,Midday,32,5,2 suit
02/03/2001,4106,Evening,2,2,2 suit
03/03/2001,4107,Midday,14,5,4 suit
03/03/2001,4108,Evening,28,1,8 suit
05/03/2001,4109,Midday,6,6,6 suit
05/03/2001,4110,Evening,18,9,8 suit
06/03/2001,4111,Midday,28,1,8 suit
06/03/2001,4112,Evening,21,3,1 suit
07/03/2001,4113,Midday,7,7,7 suit
07/03/2001,4114,Evening,17,8,7 suit
08/03/2001,4115,Midday,28,1,8 suit
08/03/2001,4116,Evening,8,8,8 suit
09/03/2001,4117,Midday,22,4,2 suit
09/03/2001,4118,Evening,4,4,4 suit
10/03/2001,4119,Midday,26,8,6 suit
10/03/2001,4120,Evening,15,6,5 suit
12/03/2001,4121,Midday,19,1,9 suit
12/03/2001,4122,Evening,23,5,3 suit
13/03/2001,4123,Midday,18,9,8 suit
13/03/2001,4124,Evening,10,1,0s
14/03/2001,4125,Midday,6,6,6 suit
14/03/2001,4126,Evening,20,2,0s
15/03/2001,4127,Midday,31,4,1 suit
15/03/2001,4128,Evening,20,2,0s
16/03/2001,4129,Midday,15,6,5 suit
16/03/2001,4130,Evening,2,2,2 suit
17/03/2001,4131,Midday,20,2,0s
17/03/2001,4132,Evening,32,5,2 suit
19/03/2001,4133,Midday,28,1,8 suit
19/03/2001,4134,Evening,7,7,7 suit
20/03/2001,4135,Midday,9,9,9 suit
20/03/2001,4136,Evening,2,2,2 suit
21/03/2001,4137,Midday,4,4,4 suit
21/03/2001,4138,Evening,20,2,0s
22/03/2001,4139,Midday,18,9,8 suit
22/03/2001,4140,Evening,28,1,8 suit
23/03/2001,4141,Midday,21,3,1 suit
23/03/2001,4142,Evening,33,6,3 suit
24/03/2001,4143,Midday,30,3,0s
24/03/2001,4144,Evening,19,1,9 suit
26/03/2001,4145,Midday,32,5,2 suit
26/03/2001,4146,Evening,7,7,7 suit
27/03/2001,4147,Midday,22,4,2 suit
27/03/2001,4148,Evening,20,2,0s
28/03/2001,4149,Midday,20,2,0s
28/03/2001,4150,Evening,12,3,2 suit
29/03/2001,4151,Midday,32,5,2 suit
29/03/2001,4152,Evening,10,1,0s
31/03/2001,4153,Midday,23,5,3 suit
31/03/2001,4154,Evening,24,6,4 suit
02/04/2001,4155,Midday,20,2,0s
02/04/2001,4156,Evening,33,6,3 suit
03/04/2001,4157,Midday,9,9,9 suit
03/04/2001,4158,Evening,18,9,8 suit
04/04/2001,4159,Midday,17,8,7 suit
04/04/2001,4160,Evening,19,1,9 suit
05/04/2001,4161,Midday,3,3,3 suit
05/04/2001,4162,Evening,25,7,5 suit
06/04/2001,4163,Midday,19,1,9 suit
06/04/2001,4164,Evening,36,9,6 suit
07/04/2001,4165,Midday,33,6,3 suit
07/04/2001,4166,Evening,5,5,5 suit
09/04/2001,4167,Midday,33,6,3 suit
09/04/2001,4168,Evening,2,2,2 suit
10/04/2001,4169,Midday,33,6,3 suit
10/04/2001,4170,Evening,19,1,9 suit
11/04/2001,4171,Midday,30,3,0s
11/04/2001,4172,Evening,28,1,8 suit
12/04/2001,4173,Midday,16,7,6 suit
12/04/2001,4174,Evening,5,5,5 suit
14/04/2001,4175,Midday,22,4,2 suit
14/04/2001,4176,Evening,17,8,7 suit
16/04/2001,4177,Midday,5,5,5 suit
16/04/2001,4178,Evening,10,1,0s
17/04/2001,4179,Midday,24,6,4 suit
17/04/2001,4180,Evening,15,6,5 suit
18/04/2001,4181,Midday,30,3,0s
18/04/2001,4182,Evening,36,9,6 suit
19/04/2001,4183,Midday,3,3,3 suit
19/04/2001,4184,Evening,17,8,7 suit
20/04/2001,4185,Midday,33,6,3 suit
20/04/2001,4186,Evening,16,7,6 suit
21/04/2001,4187,Midday,30,3,0s
21/04/2001,4188,Evening,26,8,6 suit
23/04/2001,4189,Midday,28,1,8 suit
23/04/2001,4190,Evening,8,8,8 suit
24/04/2001,4191,Midday,10,1,0s
24/04/2001,4192,Evening,18,9,8 suit
25/04/2001,4193,Midday,24,6,4 suit
25/04/2001,4194,Evening,5,5,5 suit
26/04/2001,4195,Midday,8,8,8 suit
26/04/2001,4196,Evening,1,1,1 suit
27/04/2001,4197,Midday,7,7,7 suit
27/04/2001,4198,Evening,32,5,2 suit
28/04/2001,4199,Midday,7,7,7 suit
28/04/2001,4200,Evening,11,2,1 suit
30/04/2001,4201,Midday,8,8,8 suit
30/04/2001,4202,Evening,21,3,1 suit
01/05/2001,4203,Midday,36,9,6 suit
01/05/2001,4204,Evening,30,3,0s
02/05/2001,4205,Midday,22,4,2 suit
02/05/2001,4206,Evening,14,5,4 suit
03/05/2001,4207,Midday,13,4,3 suit
03/05/2001,4208,Evening,12,3,2 suit
04/05/2001,4209,Midday,14,5,4 suit
04/05/2001,4210,Evening,8,8,8 suit
05/05/2001,4211,Midday,10,1,0s
05/05/2001,4212,Evening,21,3,1 suit
07/05/2001,4213,Midday,34,7,4 suit
07/05/2001,4214,Evening,5,5,5 suit
08/05/2001,4215,Midday,19,1,9 suit
08/05/2001,4216,Evening,16,7,6 suit
09/05/2001,4217,Midday,11,2,1 suit
09/05/2001,4218,Evening,14,5,4 suit
10/05/2001,4219,Midday,33,6,3 suit
10/05/2001,4220,Evening,26,8,6 suit
11/05/2001,4221,Midday,6,6,6 suit
11/05/2001,4222,Evening,31,4,1 suit
12/05/2001,4223,Midday,9,9,9 suit
12/05/2001,4224,Evening,23,5,3 suit
14/05/2001,4225,Midday,32,5,2 suit
14/05/2001,4226,Evening,16,7,6 suit
15/05/2001,4227,Midday,4,4,4 suit
15/05/2001,4228,Evening,24,6,4 suit
16/05/2001,4229,Midday,26,8,6 suit
16/05/2001,4230,Evening,31,4,1 suit
17/05/2001,4231,Midday,18,9,8 suit
17/05/2001,4232,Evening,24,6,4 suit
18/05/2001,4233,Midday,27,9,7 suit
18/05/2001,4234,Evening,4,4,4 suit
19/05/2001,4235,Midday,3,3,3 suit
19/05/2001,4236,Evening,7,7,7 suit
21/05/2001,4237,Midday,31,4,1 suit
21/05/2001,4238,Evening,24,6,4 suit
22/05/2001,4239,Midday,24,6,4 suit
22/05/2001,4240,Evening,3,3,3 suit
23/05/2001,4241,Midday,27,9,7 suit
23/05/2001,4242,Evening,15,6,5 suit
24/05/2001,4243,Midday,21,3,1 suit
24/05/2001,4244,Evening,35,8,5 suit
25/05/2001,4245,Midday,15,6,5 suit
25/05/2001,4246,Evening,35,8,5 suit
26/05/2001,4247,Midday,27,9,7 suit
26/05/2001,4248,Evening,19,1,9 suit
28/05/2001,4249,Midday,4,4,4 suit
28/05/2001,4250,Evening,19,1,9 suit
29/05/2001,4251,Midday,34,7,4 suit
29/05/2001,4252,Evening,9,9,9 suit
30/05/2001,4253,Midday,13,4,3 suit
30/05/2001,4254,Evening,2,2,2 suit
31/05/2001,4255,Midday,5,5,5 suit
31/05/2001,4256,Evening,32,5,2 suit
01/06/2001,4257,Midday,1,1,1 suit
01/06/2001,4258,Evening,10,1,0s
02/06/2001,4259,Midday,34,7,4 suit
02/06/2001,4260,Evening,30,3,0s
04/06/2001,4261,Midday,2,2,2 suit
04/06/2001,4262,Evening,12,3,2 suit
05/06/2001,4263,Midday,5,5,5 suit
05/06/2001,4264,Evening,25,7,5 suit
06/06/2001,4265,Midday,24,6,4 suit
06/06/2001,4266,Evening,35,8,5 suit
07/06/2001,4267,Midday,31,4,1 suit
07/06/2001,4268,Evening,31,4,1 suit
08/06/2001,4269,Midday,23,5,3 suit
08/06/2001,4270,Evening,30,3,0s
09/06/2001,4271,Midday,5,5,5 suit
09/06/2001,4272,Evening,14,5,4 suit
11/06/2001,4273,Midday,4,4,4 suit
11/06/2001,4274,Evening,10,1,0s
12/06/2001,4275,Midday,11,2,1 suit
12/06/2001,4276,Evening,34,7,4 suit
13/06/2001,4277,Midday,11,2,1 suit
13/06/2001,4278,Evening,1,1,1 suit
15/06/2001,4279,Midday,12,3,2 suit
15/06/2001,4280,Evening,12,3,2 suit
16/06/2001,4281,Midday,28,1,8 suit
16/06/2001,4282,Evening,15,6,5 suit
18/06/2001,4283,Midday,16,7,6 suit
18/06/2001,4284,Evening,32,5,2 suit
19/06/2001,4285,Midday,23,5,3 suit
19/06/2001,4286,Evening,15,6,5 suit
20/06/2001,4287,Midday,35,8,5 suit
20/06/2001,4288,Evening,16,7,6 suit
21/06/2001,4289,Midday,35,8,5 suit
21/06/2001,4290,Evening,4,4,4 suit
22/06/2001,4291,Midday,27,9,7 suit
22/06/2001,4292,Evening,28,1,8 suit
23/06/2001,4293,Midday,15,6,5 suit
23/06/2001,4294,Evening,7,7,7 suit
25/06/2001,4295,Midday,16,7,6 suit
25/06/2001,4296,Evening,4,4,4 suit
26/06/2001,4297,Midday,10,1,0s
26/06/2001,4298,Evening,32,5,2 suit
27/06/2001,4299,Midday,2,2,2 suit
27/06/2001,4300,Evening,5,5,5 suit
28/06/2001,4301,Midday,5,5,5 suit
28/06/2001,4302,Evening,31,4,1 suit
